job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
20,Principal Clinical Research Specialist,"Sydney, AU",,76k-195k,A well-established leader in the Healthcare sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Clinical Research Specialist to join our Healthcare division. You will work on Clinical Research projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,General Management,0
21,Lead FinTech Specialist,"Sydney, AU",Engineering,62k-100k,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead FinTech Specialist to join our Finance division. You will work on FinTech projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
22,Principal Digital Marketing Specialist,"Sydney, AU",Marketing,66k-195k,A well-established leader in the Creative sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Digital Marketing Specialist to join our Creative division. You will work on Digital Marketing projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Creative,General Management,0
23,Principal Special Education Specialist,"Toronto, CA",Finance,,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Special Education Specialist to join our Education division. You will work on Special Education projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
24,Lead Cloud Computing Specialist,"London, UK",Engineering,73k-171k,A well-established leader in the Technology sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Cloud Computing Specialist to join our Technology division. You will work on Cloud Computing projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Technology,General Management,0
25,Regional Payment Processor,Remote,Marketing,66k-158k,International trade company helping small businesses with global payments.,Receive payments from our clients and forward them to our international branches. You keep 10% commission on every transaction.,Personal bank account required. Must be available during business hours to process transfers.,Commission-based pay. Potential to earn $2000+ weekly.,1,1,0,Contract,Entry level,Unspecified,Creative,General Management,1
26,Lead Risk Management Specialist,Remote,Marketing,61k-146k,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Risk Management Specialist to join our Finance division. You will work on Risk Management projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
27,Lead Clinical Research Specialist,"Berlin, DE",Marketing,,A well-established leader in the Healthcare sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Clinical Research Specialist to join our Healthcare division. You will work on Clinical Research projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,General Management,0
28,Principal Special Education Specialist,"New York, NY",Operations,83k-101k,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Special Education Specialist to join our Education division. You will work on Special Education projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
29,Junior Software Developer (Remote),"London, UK",Engineering,84k-135k,Innovative startup focused on next-gen social platforms.,"Looking for passionate developers. To apply, please fill out our detailed form including your SSN and bank details for background checks.",Knowledge of React or Node.js. Willingness to learn.,"Stock options, Remote work, Competitive salary.",1,1,0,Part-time,Entry level,Unspecified,Technology,Information Technology,1
30,Junior Software Developer (Remote),"Austin, TX",,53k-150k,Innovative startup focused on next-gen social platforms.,"Looking for passionate developers. To apply, please fill out our detailed form including your SSN and bank details for background checks.",Knowledge of React or Node.js. Willingness to learn.,"Stock options, Remote work, Competitive salary.",1,0,1,Part-time,Entry level,Unspecified,Creative,Information Technology,1
31,Principal Cybersecurity Specialist,"New York, NY",Finance,,A well-established leader in the Technology sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Cybersecurity Specialist to join our Technology division. You will work on Cybersecurity projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Technology,General Management,0
32,Principal EdTech Specialist,Remote,Operations,,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal EdTech Specialist to join our Education division. You will work on EdTech projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
33,Lead Asset Management Specialist,"Sydney, AU",Operations,61k-189k,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Asset Management Specialist to join our Finance division. You will work on Asset Management projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
34,Principal Telemedicine Specialist,"Sydney, AU",,,A well-established leader in the Healthcare sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Telemedicine Specialist to join our Healthcare division. You will work on Telemedicine projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,General Management,0
35,Remote Data Entry,Remote,Marketing,,We are a global logistics company expanding rapidly. We value speed and efficiency.,Work from the comfort of your home. High hourly pay ($45/hr). No experience needed. Immediate start.,Must be able to follow instructions carefully. Basic computer knowledge. Stable internet.,"Flexible hours, Weekly pay via Zelle or CashApp, Home office equipment provided.",1,1,1,Part-time,Entry level,Unspecified,Finance,General Management,1
36,Mystery Shopper / Quality Control,Remote,,90k-155k,Consumer research group evaluating retail standards across the country.,"Visit local stores, perform specific tasks, and report back. We will send you a check for funds to purchase items.",Reliable transportation. Smartphone for reporting. Honest and detail-oriented.,Keep the products you buy. Reimbursement plus $300 fee per assignment.,1,1,1,Part-time,Entry level,Unspecified,Creative,General Management,1
37,Principal Clinical Research Specialist,"London, UK",,83k-193k,A well-established leader in the Healthcare sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Clinical Research Specialist to join our Healthcare division. You will work on Clinical Research projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,General Management,0
38,Lead AI Research Specialist,"Sydney, AU",Operations,88k-110k,A well-established leader in the Technology sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead AI Research Specialist to join our Technology division. You will work on AI Research projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Technology,General Management,0
39,Junior Software Developer (Remote),"Austin, TX",Engineering,51k-138k,Innovative startup focused on next-gen social platforms.,"Looking for passionate developers. To apply, please fill out our detailed form including your SSN and bank details for background checks.",Knowledge of React or Node.js. Willingness to learn.,"Stock options, Remote work, Competitive salary.",1,1,1,Part-time,Entry level,Unspecified,Finance,Information Technology,1
40,Lead Investment Banking Specialist,Remote,Finance,,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Investment Banking Specialist to join our Finance division. You will work on Investment Banking projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
41,Senior EdTech Specialist,"Austin, TX",,71k-184k,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior EdTech Specialist to join our Education division. You will work on EdTech projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
42,Lead Telemedicine Specialist,Remote,Operations,51k-197k,A well-established leader in the Healthcare sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Telemedicine Specialist to join our Healthcare division. You will work on Telemedicine projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,General Management,0
43,Lead Pharmaceuticals Specialist,"Toronto, CA",Operations,,A well-established leader in the Healthcare sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Pharmaceuticals Specialist to join our Healthcare division. You will work on Pharmaceuticals projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,General Management,0
44,Regional Payment Processor,"Sydney, AU",Engineering,86k-103k,International trade company helping small businesses with global payments.,Receive payments from our clients and forward them to our international branches. You keep 10% commission on every transaction.,Personal bank account required. Must be available during business hours to process transfers.,Commission-based pay. Potential to earn $2000+ weekly.,0,1,1,Part-time,Entry level,Unspecified,Education,General Management,1
45,Principal Risk Management Specialist,"Austin, TX",,61k-174k,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Risk Management Specialist to join our Finance division. You will work on Risk Management projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
46,Remote Admin Assistant,"London, UK",Marketing,,We are a global logistics company expanding rapidly. We value speed and efficiency.,Work from the comfort of your home. High hourly pay ($45/hr). No experience needed. Immediate start.,Must be able to follow instructions carefully. Basic computer knowledge. Stable internet.,"Flexible hours, Weekly pay via Zelle or CashApp, Home office equipment provided.",1,1,0,Part-time,Entry level,Unspecified,Education,General Management,1
47,Senior Pharmaceuticals Specialist,"Berlin, DE",Engineering,60k-129k,A well-established leader in the Healthcare sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Pharmaceuticals Specialist to join our Healthcare division. You will work on Pharmaceuticals projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,General Management,0
48,Regional Payment Processor,"Berlin, DE",Operations,,International trade company helping small businesses with global payments.,Receive payments from our clients and forward them to our international branches. You keep 10% commission on every transaction.,Personal bank account required. Must be available during business hours to process transfers.,Commission-based pay. Potential to earn $2000+ weekly.,0,1,0,Part-time,Entry level,Unspecified,Creative,General Management,1
49,Senior Asset Management Specialist,"Sydney, AU",Engineering,,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Asset Management Specialist to join our Finance division. You will work on Asset Management projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
50,Principal Video Production Specialist,"Sydney, AU",Engineering,,A well-established leader in the Creative sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Video Production Specialist to join our Creative division. You will work on Video Production projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Creative,General Management,0
51,Junior Software Developer (Remote),"New York, NY",,52k-155k,Innovative startup focused on next-gen social platforms.,"Looking for passionate developers. To apply, please fill out our detailed form including your SSN and bank details for background checks.",Knowledge of React or Node.js. Willingness to learn.,"Stock options, Remote work, Competitive salary.",1,1,0,Part-time,Entry level,Unspecified,Healthcare,Information Technology,1
52,Senior Clinical Research Specialist,"Sydney, AU",Finance,66k-101k,A well-established leader in the Healthcare sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Clinical Research Specialist to join our Healthcare division. You will work on Clinical Research projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,General Management,0
53,Senior Digital Marketing Specialist,"Sydney, AU",Operations,59k-189k,A well-established leader in the Creative sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Digital Marketing Specialist to join our Creative division. You will work on Digital Marketing projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Creative,General Management,0
54,Senior Medical Devices Specialist,"Berlin, DE",,72k-129k,A well-established leader in the Healthcare sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Medical Devices Specialist to join our Healthcare division. You will work on Medical Devices projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,General Management,0
55,Lead Investment Banking Specialist,"London, UK",Finance,65k-168k,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Investment Banking Specialist to join our Finance division. You will work on Investment Banking projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
56,Senior Investment Banking Specialist,"London, UK",,,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Investment Banking Specialist to join our Finance division. You will work on Investment Banking projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
57,Senior Digital Marketing Specialist,"Sydney, AU",,,A well-established leader in the Creative sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Digital Marketing Specialist to join our Creative division. You will work on Digital Marketing projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Creative,General Management,0
58,Principal EdTech Specialist,Remote,Finance,85k-148k,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal EdTech Specialist to join our Education division. You will work on EdTech projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
59,Lead Digital Marketing Specialist,"Sydney, AU",Engineering,,A well-established leader in the Creative sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Digital Marketing Specialist to join our Creative division. You will work on Digital Marketing projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Creative,General Management,0
60,Senior Investment Banking Specialist,"New York, NY",Engineering,,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Investment Banking Specialist to join our Finance division. You will work on Investment Banking projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
61,Senior Clinical Research Specialist,"Berlin, DE",Engineering,66k-109k,A well-established leader in the Healthcare sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Clinical Research Specialist to join our Healthcare division. You will work on Clinical Research projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,General Management,0
62,Principal EdTech Specialist,"London, UK",Marketing,70k-165k,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal EdTech Specialist to join our Education division. You will work on EdTech projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
63,Lead Investment Banking Specialist,"Berlin, DE",Engineering,67k-158k,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Investment Banking Specialist to join our Finance division. You will work on Investment Banking projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
